Variables,Season,Zone,Param_means,Param_vars,Param_stdv
NN,FALL,Ambient,0.38961538461538464,1.7028665158371041,1.3049392766857406
NN,FALL,Diffuse,1.7141666666666666,9.868275352112676,3.1413811217540406
NN,FALL,Transition,2.676388888888889,10.357515158730159,3.2183093634282827
NN,SPRING,Ambient,0.16224489795918368,0.0020052721088435377,0.04478026472502745
NN,SPRING,Diffuse,1.3755223880597016,5.389716010854817,2.3215761910509887
NN,SPRING,Offshore,0.11666666666666667,0.001946666666666667,0.044121045620731464
NN,SPRING,Transition,5.6738888888888885,66.1677673015873,8.13435721502242
pH,FALL,Ambient,8.046188213096153,0.005379672808705775,0.07334625286070022
pH,FALL,Diffuse,8.033858693625,0.007224070123377037,0.08499452996150421
pH,FALL,Transition,8.035399111944445,0.010000528316475913,0.1000026415474907
pH,SPRING,Ambient,8.025742138183674,0.0076809033475524185,0.08764076304752497
pH,SPRING,Diffuse,8.037209634104478,0.014088544058124312,0.11869517285098123
pH,SPRING,Offshore,7.987833333333333,0.0017393666666666546,0.04170571503603139
pH,SPRING,Transition,8.035675868166667,0.01566055353934916,0.1251421333498401
Phosphate,FALL,Ambient,0.10653846153846154,0.001485822021116139,0.03854636196992057
Phosphate,FALL,Diffuse,0.15611111111111112,0.010401564945226918,0.10198806275847638
Phosphate,FALL,Transition,0.21027777777777779,0.018345634920634922,0.13544605908122584
Phosphate,SPRING,Ambient,0.12755102040816327,9.313775510204084e-4,0.030518478845126085
Phosphate,SPRING,Diffuse,0.1635820895522388,0.007314246947082768,0.08552337076543913
Phosphate,SPRING,Offshore,0.15833333333333333,0.0011766666666666664,0.034302575219167825
Phosphate,SPRING,Transition,0.28555555555555556,0.04176825396825397,0.20437283079767224
Salinity,FALL,Ambient,34.56727403153846,0.047735076346805495,0.21848358370093965
Salinity,FALL,Diffuse,34.082677526944444,1.0219043581951845,1.0108928519854044
Salinity,FALL,Transition,33.33047245666667,3.8581908519297254,1.964227800416674
Salinity,SPRING,Ambient,34.61708111591837,0.0011839463350282065,0.03440852125605235
Salinity,SPRING,Diffuse,34.09023345134328,0.72170990691358206,0.8495351122311438
Salinity,SPRING,Offshore,34.605651261666665,1.8352695915802855e-4,0.01354721222827887
Salinity,SPRING,Transition,32.852835911944446,3.700444756397367,1.9236540116136704
Silicate,FALL,Ambient,2.996730769230769,28.478175377073903,5.3364946713244175
Silicate,FALL,Diffuse,14.484861111111112,547.70676336072,23.403135759139627
Silicate,FALL,Transition,31.639722222222222,1981.007442777778,44.50850977934195
Silicate,SPRING,Ambient,1.786530612244898,0.27319812925170067,0.5226835842569582
Silicate,SPRING,Diffuse,14.257611940298508,381.2389426956128,19.525341039162743
Silicate,SPRING,Offshore,1.7183333333333333,0.09501666666666668,0.30824773586624554
Silicate,SPRING,Transition,43.35138888888889,2010.5181380158729,44.838801701382174
Temp_in,FALL,Ambient,26.753014371538463,0.4331871256773526,0.6581695265487096
Temp_in,FALL,Diffuse,26.51954741,0.7279030030573388,0.8531723173294705
Temp_in,FALL,Transition,26.362989227499998,1.254129546065859,1.1198792551279173
Temp_in,SPRING,Ambient,24.640156637959183,0.41266846193353135,0.6423927629834658
Temp_in,SPRING,Diffuse,24.461056309104478,0.8013213264784367,0.895165530211277
Temp_in,SPRING,Offshore,24.38819551,0.045991863731598956,0.21445713728295207
Temp_in,SPRING,Transition,24.399555496944444,1.1020150756284661,1.0497690582354131
